C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_20_706.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_20_706.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_20_706.jpg,0,0,0,7.84E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_20_807.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_20_807.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_20_807.jpg,0,0,0,7.87E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_20_909.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_20_909.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_20_909.jpg,0,0,0,8.04E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_010.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_010.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_010.jpg,0,0,0,7.83E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_111.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_111.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_111.jpg,0,0,0,7.80E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_211.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_211.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_211.jpg,0,0,0,7.85E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_314.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_314.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_314.jpg,0,0,0,7.94E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_416.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_416.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_416.jpg,0,0,0,7.92E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_518.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_518.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_518.jpg,0,0,0,7.82E-05
C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\center_2024_09_08_19_21_21_619.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\left_2024_09_08_19_21_21_619.jpg, C:\A_DESKTOP_FAKE\CMPE_Robot_Perception\Images\IMG\right_2024_09_08_19_21_21_619.jpg,0,0,0,7.85E-05
